surah_no,surah_name_en,surah_name_roman,ayah_no_surah,ayah_no_quran,,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words,emotion
2,The Cow,Al-Baqarah,127,134,,رَبَّنَا وَٱجْعَلْنَا مُسْلِمَيْنِ لَكَ وَمِن ذُرِّيَّتِنَآ أُمَّةًۭ مُّسْلِمَةًۭ لَّكَ وَأَرِنَا مَنَاسِكَنَا وَتُبْ عَلَيْنَآ ۖ إِنَّكَ أَنتَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"Lord, make us submissive to You; make of our descendants a nation that will submit to You. Teach us our rites of worship and turn to us with mercy; You are the Forgiving One and the Merciful.",16,1,1,8,286,6236,Medinan,FALSE,,18,"[رَبَّنَا,وَٱجْعَلْنَا,مُسْلِمَيْنِ,لَكَ,وَمِن,ذُرِّيَّتِنَآ,أُمَّةًۭ,مُّسْلِمَةًۭ,لَّكَ,وَأَرِنَا,مَنَاسِكَنَا,وَتُبْ,عَلَيْنَآ,ۖ,إِنَّكَ,أَنتَ,ٱلتَّوَّابُ,ٱلرَّحِيمُ]",hope
2,The Cow,Al-Baqarah,128,135,,رَبَّنَا وَٱبْعَثْ فِيهِمْ رَسُولًۭا مِّنْهُمْ يَتْلُوا۟ عَلَيْهِمْ ءَايَٰتِكَ وَيُعَلِّمُهُمُ ٱلْكِتَٰبَ وَٱلْحِكْمَةَ وَيُزَكِّيهِمْ ۚ إِنَّكَ أَنتَ ٱلْعَزِيزُ ٱلْحَكِيمُ,"Our Lord, send forth to them a messenger of their own to recite Your revelations to them, to teach them the Scripture and wisdom, and purify them. You are the Mighty, the Wise One.""",16,1,1,8,286,6236,Medinan,FALSE,,17,"[رَبَّنَا,وَٱبْعَثْ,فِيهِمْ,رَسُولًۭا,مِّنْهُمْ,يَتْلُوا۟,عَلَيْهِمْ,ءَايَٰتِكَ,وَيُعَلِّمُهُمُ,ٱلْكِتَٰبَ,وَٱلْحِكْمَةَ,وَيُزَكِّيهِمْ,ۚ,إِنَّكَ,أَنتَ,ٱلْعَزِيزُ,ٱلْحَكِيمُ]",hope
2,The Cow,Al-Baqarah,129,136,,وَمَن يَرْغَبُ عَن مِّلَّةِ إِبْرَٰهِۦمَ إِلَّا مَن سَفِهَ نَفْسَهُۥ ۚ وَلَقَدِ ٱصْطَفَيْنَٰهُ فِى ٱلدُّنْيَا ۖ وَإِنَّهُۥ فِى ٱلْءَاخِرَةِ لَمِنَ ٱلصَّٰلِحِينَ,"Who but a foolish man would turn away from the religion of Abraham? We chose him in this world, and in the Hereafter he shall be among the righteous.",17,1,1,8,286,6236,Medinan,FALSE,,20,"[وَمَن,يَرْغَبُ,عَن,مِّلَّةِ,إِبْرَٰهِۦمَ,إِلَّا,مَن,سَفِهَ,نَفْسَهُۥ,ۚ,وَلَقَدِ,ٱصْطَفَيْنَٰهُ,فِى,ٱلدُّنْيَا,ۖ,وَإِنَّهُۥ,فِى,ٱلْءَاخِرَةِ,لَمِنَ,ٱلصَّٰلِحِينَ]",hope
2,The Cow,Al-Baqarah,130,137,,إِذْ قَالَ لَهُۥ رَبُّهُۥٓ أَسْلِمْ ۖ قَالَ أَسْلَمْتُ لِرَبِّ ٱلْعَٰلَمِينَ,"When his Lord said to him, ""Surrender!"" he responded, ""I have surrendered to the Lord of the Universe,""",17,1,1,8,286,6236,Medinan,FALSE,,10,"[إِذْ,قَالَ,لَهُۥ,رَبُّهُۥٓ,أَسْلِمْ,ۖ,قَالَ,أَسْلَمْتُ,لِرَبِّ,ٱلْعَٰلَمِينَ]",divine justice
2,The Cow,Al-Baqarah,131,138,,وَوَصَّىٰ بِهَآ إِبْرَٰهِۦمُ بَنِيهِ وَيَعْقُوبُ يَٰبَنِىَّ إِنَّ ٱللَّهَ ٱصْطَفَىٰ لَكُمُ ٱلدِّينَ فَلَا تَمُوتُنَّ إِلَّا وَأَنتُم مُّسْلِمُونَ,"and Abraham enjoined his sons to do the same, as did Jacob, ""My sons, God has chosen this religion for you; so do not let death overtake you, except when you are in a state of submission.""",17,1,1,8,286,6236,Medinan,FALSE,,16,"[وَوَصَّىٰ,بِهَآ,إِبْرَٰهِۦمُ,بَنِيهِ,وَيَعْقُوبُ,يَٰبَنِىَّ,إِنَّ,ٱللَّهَ,ٱصْطَفَىٰ,لَكُمُ,ٱلدِّينَ,فَلَا,تَمُوتُنَّ,إِلَّا,وَأَنتُم,مُّسْلِمُونَ]",divine justice
2,The Cow,Al-Baqarah,132,139,,أَمْ كُنتُمْ شُهَدَآءَ إِذْ حَضَرَ يَعْقُوبَ ٱلْمَوْتُ إِذْ قَالَ لِبَنِيهِ مَا تَعْبُدُونَ مِنۢ بَعْدِى قَالُوا۟ نَعْبُدُ إِلَٰهَكَ وَإِلَٰهَ ءَابَآئِكَ إِبْرَٰهِۦمَ وَإِسْمَٰعِيلَ وَإِسْحَٰقَ إِلَٰهًۭا وَٰحِدًۭا وَنَحْنُ لَهُۥ مُسْلِمُونَ,"Were you present when Jacob faced the hour of death and he asked his sons, ""Who will you worship after me?"" They answered, ""We will worship your God and the God of your fathers, Abraham and Ishmael and Isaac: the one God; we have submitted ourselves to Him.""",17,1,1,8,286,6236,Medinan,FALSE,,27,"[أَمْ,كُنتُمْ,شُهَدَآءَ,إِذْ,حَضَرَ,يَعْقُوبَ,ٱلْمَوْتُ,إِذْ,قَالَ,لِبَنِيهِ,مَا,تَعْبُدُونَ,مِنۢ,بَعْدِى,قَالُوا۟,نَعْبُدُ,إِلَٰهَكَ,وَإِلَٰهَ,ءَابَآئِكَ,إِبْرَٰهِۦمَ,وَإِسْمَٰعِيلَ,وَإِسْحَٰقَ,إِلَٰهًۭا,وَٰحِدًۭا,وَنَحْنُ,لَهُۥ,مُسْلِمُونَ]",divine justice
2,The Cow,Al-Baqarah,133,140,,تِلْكَ أُمَّةٌۭ قَدْ خَلَتْ ۖ لَهَا مَا كَسَبَتْ وَلَكُم مَّا كَسَبْتُمْ ۖ وَلَا تُسْـَٔلُونَ عَمَّا كَانُوا۟ يَعْمَلُونَ,Those were a people that have passed away; what they did is theirs and what you have done is yours. You will not be answerable for their deeds.,17,1,1,8,286,6236,Medinan,FALSE,,17,"[تِلْكَ,أُمَّةٌۭ,قَدْ,خَلَتْ,ۖ,لَهَا,مَا,كَسَبَتْ,وَلَكُم,مَّا,كَسَبْتُمْ,ۖ,وَلَا,تُسْـَٔلُونَ,عَمَّا,كَانُوا۟,يَعْمَلُونَ]",divine justice
2,The Cow,Al-Baqarah,134,141,,وَقَالُوا۟ كُونُوا۟ هُودًا أَوْ نَصَٰرَىٰ تَهْتَدُوا۟ ۗ قُلْ بَلْ مِلَّةَ إِبْرَٰهِۦمَ حَنِيفًۭا ۖ وَمَا كَانَ مِنَ ٱلْمُشْرِكِينَ,"They say, ""Be Jews or Christians, and you shall be rightly guided."" Say, ""By no means! We believe in the faith of Abraham, who was ever inclined \[to God\]; he was not one of those who set up partners with God.""",17,1,1,8,286,6236,Medinan,FALSE,,17,"[وَقَالُوا۟,كُونُوا۟,هُودًا,أَوْ,نَصَٰرَىٰ,تَهْتَدُوا۟,ۗ,قُلْ,بَلْ,مِلَّةَ,إِبْرَٰهِۦمَ,حَنِيفًۭا,ۖ,وَمَا,كَانَ,مِنَ,ٱلْمُشْرِكِينَ]",hope
2,The Cow,Al-Baqarah,135,142,,قُولُوٓا۟ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ إِلَيْنَا وَمَآ أُنزِلَ إِلَىٰٓ إِبْرَٰهِۦمَ وَإِسْمَٰعِيلَ وَإِسْحَٰقَ وَيَعْقُوبَ وَٱلْأَسْبَاطِ وَمَآ أُوتِىَ مُوسَىٰ وَعِيسَىٰ وَمَآ أُوتِىَ ٱلنَّبِيُّونَ مِن رَّبِّهِمْ لَا نُفَرِّقُ بَيْنَ أَحَدٍۢ مِّنْهُمْ وَنَحْنُ لَهُۥ مُسْلِمُونَ,"Say, ""We believe in God and what was revealed to us; and what was revealed to Abraham, Ishmael, Isaac, Jacob, and their descendants, and what was given to Moses and Jesus and what was given to the \[other\] prophets by their Lord. We make no distinction between any of them. It is to Him that we surrender ourselves.""",17,1,1,8,286,6236,Medinan,FALSE,,31,"[قُولُوٓا۟,ءَامَنَّا,بِٱللَّهِ,وَمَآ,أُنزِلَ,إِلَيْنَا,وَمَآ,أُنزِلَ,إِلَىٰٓ,إِبْرَٰهِۦمَ,وَإِسْمَٰعِيلَ,وَإِسْحَٰقَ,وَيَعْقُوبَ,وَٱلْأَسْبَاطِ,وَمَآ,أُوتِىَ,مُوسَىٰ,وَعِيسَىٰ,وَمَآ,أُوتِىَ,ٱلنَّبِيُّونَ,مِن,رَّبِّهِمْ,لَا,نُفَرِّقُ,بَيْنَ,أَحَدٍۢ,مِّنْهُمْ,وَنَحْنُ,لَهُۥ,مُسْلِمُونَ]",hope
2,The Cow,Al-Baqarah,136,143,,فَإِنْ ءَامَنُوا۟ بِمِثْلِ مَآ ءَامَنتُم بِهِۦ فَقَدِ ٱهْتَدَوا۟ ۖ وَّإِن تَوَلَّوْا۟ فَإِنَّمَا هُمْ فِى شِقَاقٍۢ ۖ فَسَيَكْفِيكَهُمُ ٱللَّهُ ۚ وَهُوَ ٱلسَّمِيعُ ٱلْعَلِيمُ,"If they believe as you have believed, then are they rightly guided; but if they turn back, then know that they are entrenched in hostility. God will surely suffice to defend you against them, for He is All Hearing, All Knowing.",17,1,1,8,286,6236,Medinan,FALSE,,22,"[فَإِنْ,ءَامَنُوا۟,بِمِثْلِ,مَآ,ءَامَنتُم,بِهِۦ,فَقَدِ,ٱهْتَدَوا۟,ۖ,وَّإِن,تَوَلَّوْا۟,فَإِنَّمَا,هُمْ,فِى,شِقَاقٍۢ,ۖ,فَسَيَكْفِيكَهُمُ,ٱللَّهُ,ۚ,وَهُوَ,ٱلسَّمِيعُ,ٱلْعَلِيمُ]",divine justice
2,The Cow,Al-Baqarah,137,144,,صِبْغَةَ ٱللَّهِ ۖ وَمَنْ أَحْسَنُ مِنَ ٱللَّهِ صِبْغَةًۭ ۖ وَنَحْنُ لَهُۥ عَٰبِدُونَ,We take on God's own dye. Who has a better dye than God's? We worship Him alone.,17,1,1,8,286,6236,Medinan,FALSE,,12,"[صِبْغَةَ,ٱللَّهِ,ۖ,وَمَنْ,أَحْسَنُ,مِنَ,ٱللَّهِ,صِبْغَةًۭ,ۖ,وَنَحْنُ,لَهُۥ,عَٰبِدُونَ]",hope
2,The Cow,Al-Baqarah,138,145,,قُلْ أَتُحَآجُّونَنَا فِى ٱللَّهِ وَهُوَ رَبُّنَا وَرَبُّكُمْ وَلَنَآ أَعْمَٰلُنَا وَلَكُمْ أَعْمَٰلُكُمْ وَنَحْنُ لَهُۥ مُخْلِصُونَ,"Say, ""Do you dispute with us about God, while He is our Lord and your Lord? We have our actions and you have your actions. We are devoted to Him alone.",17,1,1,8,286,6236,Medinan,FALSE,,14,"[قُلْ,أَتُحَآجُّونَنَا,فِى,ٱللَّهِ,وَهُوَ,رَبُّنَا,وَرَبُّكُمْ,وَلَنَآ,أَعْمَٰلُنَا,وَلَكُمْ,أَعْمَٰلُكُمْ,وَنَحْنُ,لَهُۥ,مُخْلِصُونَ]",mercy
2,The Cow,Al-Baqarah,139,146,,أَمْ تَقُولُونَ إِنَّ إِبْرَٰهِۦمَ وَإِسْمَٰعِيلَ وَإِسْحَٰقَ وَيَعْقُوبَ وَٱلْأَسْبَاطَ كَانُوا۟ هُودًا أَوْ نَصَٰرَىٰ ۗ قُلْ ءَأَنتُمْ أَعْلَمُ أَمِ ٱللَّهُ ۗ وَمَنْ أَظْلَمُ مِمَّن كَتَمَ شَهَٰدَةً عِندَهُۥ مِنَ ٱللَّهِ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ,"Do you claim that Abraham and Ishmael and Isaac and Jacob and their descendants were all Jews or Christians?"" Say, ""Do you know better or does God? And who could be more unjust than one who conceals a testimony given to him by God? God is not unaware of what you do.""",17,1,1,8,286,6236,Medinan,FALSE,,33,"[أَمْ,تَقُولُونَ,إِنَّ,إِبْرَٰهِۦمَ,وَإِسْمَٰعِيلَ,وَإِسْحَٰقَ,وَيَعْقُوبَ,وَٱلْأَسْبَاطَ,كَانُوا۟,هُودًا,أَوْ,نَصَٰرَىٰ,ۗ,قُلْ,ءَأَنتُمْ,أَعْلَمُ,أَمِ,ٱللَّهُ,ۗ,وَمَنْ,أَظْلَمُ,مِمَّن,كَتَمَ,شَهَٰدَةً,عِندَهُۥ,مِنَ,ٱللَّهِ,ۗ,وَمَا,ٱللَّهُ,بِغَٰفِلٍ,عَمَّا,تَعْمَلُونَ]",hope
2,The Cow,Al-Baqarah,140,147,,تِلْكَ أُمَّةٌۭ قَدْ خَلَتْ ۖ لَهَا مَا كَسَبَتْ وَلَكُم مَّا كَسَبْتُمْ ۖ وَلَا تُسْـَٔلُونَ عَمَّا كَانُوا۟ يَعْمَلُونَ,Those were a people that have passed away; theirs is what they did and yours what you have done. You shall not be answerable for their deeds.,17,1,1,8,286,6236,Medinan,FALSE,,17,"[تِلْكَ,أُمَّةٌۭ,قَدْ,خَلَتْ,ۖ,لَهَا,مَا,كَسَبَتْ,وَلَكُم,مَّا,كَسَبْتُمْ,ۖ,وَلَا,تُسْـَٔلُونَ,عَمَّا,كَانُوا۟,يَعْمَلُونَ]",divine justice
2,The Cow,Al-Baqarah,141,148,,۞ سَيَقُولُ ٱلسُّفَهَآءُ مِنَ ٱلنَّاسِ مَا وَلَّىٰهُمْ عَن قِبْلَتِهِمُ ٱلَّتِى كَانُوا۟ عَلَيْهَا ۚ قُل لِّلَّهِ ٱلْمَشْرِقُ وَٱلْمَغْرِبُ ۚ يَهْدِى مَن يَشَآءُ إِلَىٰ صِرَٰطٍۢ مُّسْتَقِيمٍۢ,"The foolish will ask, ""What has made them turn away from their direction of prayer which they used to face?"" Say, ""The East and the West belong to God. He guides whom He pleases to the right path.""",18,2,1,9,286,6236,Medinan,FALSE,,24,"[۞,سَيَقُولُ,ٱلسُّفَهَآءُ,مِنَ,ٱلنَّاسِ,مَا,وَلَّىٰهُمْ,عَن,قِبْلَتِهِمُ,ٱلَّتِى,كَانُوا۟,عَلَيْهَا,ۚ,قُل,لِّلَّهِ,ٱلْمَشْرِقُ,وَٱلْمَغْرِبُ,ۚ,يَهْدِى,مَن,يَشَآءُ,إِلَىٰ,صِرَٰطٍۢ,مُّسْتَقِيمٍۢ]",divine justice
2,The Cow,Al-Baqarah,142,149,,وَكَذَٰلِكَ جَعَلْنَٰكُمْ أُمَّةًۭ وَسَطًۭا لِّتَكُونُوا۟ شُهَدَآءَ عَلَى ٱلنَّاسِ وَيَكُونَ ٱلرَّسُولُ عَلَيْكُمْ شَهِيدًۭا ۗ وَمَا جَعَلْنَا ٱلْقِبْلَةَ ٱلَّتِى كُنتَ عَلَيْهَآ إِلَّا لِنَعْلَمَ مَن يَتَّبِعُ ٱلرَّسُولَ مِمَّن يَنقَلِبُ عَلَىٰ عَقِبَيْهِ ۚ وَإِن كَانَتْ لَكَبِيرَةً إِلَّا عَلَى ٱلَّذِينَ هَدَى ٱللَّهُ ۗ وَمَا كَانَ ٱللَّهُ لِيُضِيعَ إِيمَٰنَكُمْ ۚ إِنَّ ٱللَّهَ بِٱلنَّاسِ لَرَءُوفٌۭ رَّحِيمٌۭ,"Thus We have made you a middle nation, so that you may act as witnesses for mankind, and the Messenger may be a witness for you. We decreed your former prayer direction towards which you used to face only in order that We might make a clear distinction between the Messenger's true followers and those who were to turn their backs on him. This was indeed a hard test for all but those whom God has guided. God will never let your faith go to waste. God is compassionate and merciful to mankind.",18,2,1,9,286,6236,Medinan,FALSE,,49,"[وَكَذَٰلِكَ,جَعَلْنَٰكُمْ,أُمَّةًۭ,وَسَطًۭا,لِّتَكُونُوا۟,شُهَدَآءَ,عَلَى,ٱلنَّاسِ,وَيَكُونَ,ٱلرَّسُولُ,عَلَيْكُمْ,شَهِيدًۭا,ۗ,وَمَا,جَعَلْنَا,ٱلْقِبْلَةَ,ٱلَّتِى,كُنتَ,عَلَيْهَآ,إِلَّا,لِنَعْلَمَ,مَن,يَتَّبِعُ,ٱلرَّسُولَ,مِمَّن,يَنقَلِبُ,عَلَىٰ,عَقِبَيْهِ,ۚ,وَإِن,كَانَتْ,لَكَبِيرَةً,إِلَّا,عَلَى,ٱلَّذِينَ,هَدَى,ٱللَّهُ,ۗ,وَمَا,كَانَ,ٱللَّهُ,لِيُضِيعَ,إِيمَٰنَكُمْ,ۚ,إِنَّ,ٱللَّهَ,بِٱلنَّاسِ,لَرَءُوفٌۭ,رَّحِيمٌۭ]",hope
2,The Cow,Al-Baqarah,143,150,,قَدْ نَرَىٰ تَقَلُّبَ وَجْهِكَ فِى ٱلسَّمَآءِ ۖ فَلَنُوَلِّيَنَّكَ قِبْلَةًۭ تَرْضَىٰهَا ۚ فَوَلِّ وَجْهَكَ شَطْرَ ٱلْمَسْجِدِ ٱلْحَرَامِ ۚ وَحَيْثُ مَا كُنتُمْ فَوَلُّوا۟ وُجُوهَكُمْ شَطْرَهُۥ ۗ وَإِنَّ ٱلَّذِينَ أُوتُوا۟ ٱلْكِتَٰبَ لَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا يَعْمَلُونَ,"We have frequently seen you turn your face towards heaven. So We will make you turn in a direction for prayer that will please you. So turn your face now towards the Sacred Mosque: and wherever you may be, turn your faces towards it. Those who were given the Book know this to be the truth from their Lord. God is not unaware of what they do.",18,2,1,9,286,6236,Medinan,FALSE,,39,"[قَدْ,نَرَىٰ,تَقَلُّبَ,وَجْهِكَ,فِى,ٱلسَّمَآءِ,ۖ,فَلَنُوَلِّيَنَّكَ,قِبْلَةًۭ,تَرْضَىٰهَا,ۚ,فَوَلِّ,وَجْهَكَ,شَطْرَ,ٱلْمَسْجِدِ,ٱلْحَرَامِ,ۚ,وَحَيْثُ,مَا,كُنتُمْ,فَوَلُّوا۟,وُجُوهَكُمْ,شَطْرَهُۥ,ۗ,وَإِنَّ,ٱلَّذِينَ,أُوتُوا۟,ٱلْكِتَٰبَ,لَيَعْلَمُونَ,أَنَّهُ,ٱلْحَقُّ,مِن,رَّبِّهِمْ,ۗ,وَمَا,ٱللَّهُ,بِغَٰفِلٍ,عَمَّا,يَعْمَلُونَ]",taqwa
2,The Cow,Al-Baqarah,144,151,,وَلَئِنْ أَتَيْتَ ٱلَّذِينَ أُوتُوا۟ ٱلْكِتَٰبَ بِكُلِّ ءَايَةٍۢ مَّا تَبِعُوا۟ قِبْلَتَكَ ۚ وَمَآ أَنتَ بِتَابِعٍۢ قِبْلَتَهُمْ ۚ وَمَا بَعْضُهُم بِتَابِعٍۢ قِبْلَةَ بَعْضٍۢ ۚ وَلَئِنِ ٱتَّبَعْتَ أَهْوَآءَهُم مِّنۢ بَعْدِ مَا جَآءَكَ مِنَ ٱلْعِلْمِ ۙ إِنَّكَ إِذًۭا لَّمِنَ ٱلظَّٰلِمِينَ,"But even if you should produce every kind of sign for those who have been given the Book, they would never accept your prayer direction, nor would you accept their prayer direction: nor would any of them accept one another's direction. If, after all the knowledge you have been given, you yield to their desires, then, you shall surely become a transgressor.",18,2,1,9,286,6236,Medinan,FALSE,,36,"[وَلَئِنْ,أَتَيْتَ,ٱلَّذِينَ,أُوتُوا۟,ٱلْكِتَٰبَ,بِكُلِّ,ءَايَةٍۢ,مَّا,تَبِعُوا۟,قِبْلَتَكَ,ۚ,وَمَآ,أَنتَ,بِتَابِعٍۢ,قِبْلَتَهُمْ,ۚ,وَمَا,بَعْضُهُم,بِتَابِعٍۢ,قِبْلَةَ,بَعْضٍۢ,ۚ,وَلَئِنِ,ٱتَّبَعْتَ,أَهْوَآءَهُم,مِّنۢ,بَعْدِ,مَا,جَآءَكَ,مِنَ,ٱلْعِلْمِ,ۙ,إِنَّكَ,إِذًۭا,لَّمِنَ,ٱلظَّٰلِمِينَ]",divine justice
2,The Cow,Al-Baqarah,145,152,,ٱلَّذِينَ ءَاتَيْنَٰهُمُ ٱلْكِتَٰبَ يَعْرِفُونَهُۥ كَمَا يَعْرِفُونَ أَبْنَآءَهُمْ ۖ وَإِنَّ فَرِيقًۭا مِّنْهُمْ لَيَكْتُمُونَ ٱلْحَقَّ وَهُمْ يَعْلَمُونَ,"Those to whom We have given the Book recognize it just as they recognize their own sons. But, some of them knowingly conceal the truth.",18,2,1,9,286,6236,Medinan,FALSE,,15,"[ٱلَّذِينَ,ءَاتَيْنَٰهُمُ,ٱلْكِتَٰبَ,يَعْرِفُونَهُۥ,كَمَا,يَعْرِفُونَ,أَبْنَآءَهُمْ,ۖ,وَإِنَّ,فَرِيقًۭا,مِّنْهُمْ,لَيَكْتُمُونَ,ٱلْحَقَّ,وَهُمْ,يَعْلَمُونَ]",hope
2,The Cow,Al-Baqarah,146,153,,ٱلْحَقُّ مِن رَّبِّكَ ۖ فَلَا تَكُونَنَّ مِنَ ٱلْمُمْتَرِينَ,"Truth is what comes from your Lord; therefore, do not be of those who doubt.",18,2,1,9,286,6236,Medinan,FALSE,,8,"[ٱلْحَقُّ,مِن,رَّبِّكَ,ۖ,فَلَا,تَكُونَنَّ,مِنَ,ٱلْمُمْتَرِينَ]",hope
2,The Cow,Al-Baqarah,147,154,,وَلِكُلٍّۢ وِجْهَةٌ هُوَ مُوَلِّيهَا ۖ فَٱسْتَبِقُوا۟ ٱلْخَيْرَٰتِ ۚ أَيْنَ مَا تَكُونُوا۟ يَأْتِ بِكُمُ ٱللَّهُ جَمِيعًا ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ,"Each community has its own direction in which it turns: vie, then, with one another in doing good works. Wherever you may be, God will bring you all before Him. God has power over all things.",19,2,1,9,286,6236,Medinan,FALSE,,22,"[وَلِكُلٍّۢ,وِجْهَةٌ,هُوَ,مُوَلِّيهَا,ۖ,فَٱسْتَبِقُوا۟,ٱلْخَيْرَٰتِ,ۚ,أَيْنَ,مَا,تَكُونُوا۟,يَأْتِ,بِكُمُ,ٱللَّهُ,جَمِيعًا,ۚ,إِنَّ,ٱللَّهَ,عَلَىٰ,كُلِّ,شَىْءٍۢ,قَدِيرٌۭ]",hope
2,The Cow,Al-Baqarah,148,155,,وَمِنْ حَيْثُ خَرَجْتَ فَوَلِّ وَجْهَكَ شَطْرَ ٱلْمَسْجِدِ ٱلْحَرَامِ ۖ وَإِنَّهُۥ لَلْحَقُّ مِن رَّبِّكَ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ,"Wherever you set out from, turn your face in the direction of the Sacred Mosque -- this is the truth from your Lord: He is not unaware of what you do --",19,2,1,9,286,6236,Medinan,FALSE,,19,"[وَمِنْ,حَيْثُ,خَرَجْتَ,فَوَلِّ,وَجْهَكَ,شَطْرَ,ٱلْمَسْجِدِ,ٱلْحَرَامِ,ۖ,وَإِنَّهُۥ,لَلْحَقُّ,مِن,رَّبِّكَ,ۗ,وَمَا,ٱللَّهُ,بِغَٰفِلٍ,عَمَّا,تَعْمَلُونَ]",taqwa
2,The Cow,Al-Baqarah,149,156,,وَمِنْ حَيْثُ خَرَجْتَ فَوَلِّ وَجْهَكَ شَطْرَ ٱلْمَسْجِدِ ٱلْحَرَامِ ۚ وَحَيْثُ مَا كُنتُمْ فَوَلُّوا۟ وُجُوهَكُمْ شَطْرَهُۥ لِئَلَّا يَكُونَ لِلنَّاسِ عَلَيْكُمْ حُجَّةٌ إِلَّا ٱلَّذِينَ ظَلَمُوا۟ مِنْهُمْ فَلَا تَخْشَوْهُمْ وَٱخْشَوْنِى وَلِأُتِمَّ نِعْمَتِى عَلَيْكُمْ وَلَعَلَّكُمْ تَهْتَدُونَ,"wherever you come from, turn your face to the Sacred Mosque; wherever you may be, turn your faces towards it, so that people will not have any argument against you except for the wrongdoers among them. Do not fear them; fear Me, so that I may perfect My favour to you and you may be rightly guided.",19,2,1,9,286,6236,Medinan,FALSE,,32,"[وَمِنْ,حَيْثُ,خَرَجْتَ,فَوَلِّ,وَجْهَكَ,شَطْرَ,ٱلْمَسْجِدِ,ٱلْحَرَامِ,ۚ,وَحَيْثُ,مَا,كُنتُمْ,فَوَلُّوا۟,وُجُوهَكُمْ,شَطْرَهُۥ,لِئَلَّا,يَكُونَ,لِلنَّاسِ,عَلَيْكُمْ,حُجَّةٌ,إِلَّا,ٱلَّذِينَ,ظَلَمُوا۟,مِنْهُمْ,فَلَا,تَخْشَوْهُمْ,وَٱخْشَوْنِى,وَلِأُتِمَّ,نِعْمَتِى,عَلَيْكُمْ,وَلَعَلَّكُمْ,تَهْتَدُونَ]",hope
2,The Cow,Al-Baqarah,150,157,,كَمَآ أَرْسَلْنَا فِيكُمْ رَسُولًۭا مِّنكُمْ يَتْلُوا۟ عَلَيْكُمْ ءَايَٰتِنَا وَيُزَكِّيكُمْ وَيُعَلِّمُكُمُ ٱلْكِتَٰبَ وَٱلْحِكْمَةَ وَيُعَلِّمُكُم مَّا لَمْ تَكُونُوا۟ تَعْلَمُونَ,"Thus We have sent among you a Messenger of your own to recite Our revelations to you, purify you and teach you the Book and wisdom, and to teach you what you did not know.",19,2,1,9,286,6236,Medinan,FALSE,,17,"[كَمَآ,أَرْسَلْنَا,فِيكُمْ,رَسُولًۭا,مِّنكُمْ,يَتْلُوا۟,عَلَيْكُمْ,ءَايَٰتِنَا,وَيُزَكِّيكُمْ,وَيُعَلِّمُكُمُ,ٱلْكِتَٰبَ,وَٱلْحِكْمَةَ,وَيُعَلِّمُكُم,مَّا,لَمْ,تَكُونُوا۟,تَعْلَمُونَ]",hope
2,The Cow,Al-Baqarah,151,158,,فَٱذْكُرُونِىٓ أَذْكُرْكُمْ وَٱشْكُرُوا۟ لِى وَلَا تَكْفُرُونِ,So remember Me; I will remember you. Be thankful to Me and do not be ungrateful.,19,2,1,9,286,6236,Medinan,FALSE,,6,"[فَٱذْكُرُونِىٓ,أَذْكُرْكُمْ,وَٱشْكُرُوا۟,لِى,وَلَا,تَكْفُرُونِ]",grief
2,The Cow,Al-Baqarah,152,159,,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ ۚ إِنَّ ٱللَّهَ مَعَ ٱلصَّٰبِرِينَ,"You who believe, seek help through patience and prayer; surely, God is with the steadfast.",20,2,1,9,286,6236,Medinan,FALSE,,11,"[يَٰٓأَيُّهَا,ٱلَّذِينَ,ءَامَنُوا۟,ٱسْتَعِينُوا۟,بِٱلصَّبْرِ,وَٱلصَّلَوٰةِ,ۚ,إِنَّ,ٱللَّهَ,مَعَ,ٱلصَّٰبِرِينَ]",hope
2,The Cow,Al-Baqarah,153,160,,وَلَا تَقُولُوا۟ لِمَن يُقْتَلُ فِى سَبِيلِ ٱللَّهِ أَمْوَٰتٌۢ ۚ بَلْ أَحْيَآءٌۭ وَلَٰكِن لَّا تَشْعُرُونَ,"Do not say that those who are killed in God's cause are dead; they are alive, but you are not aware of it.",20,2,1,9,286,6236,Medinan,FALSE,,14,"[وَلَا,تَقُولُوا۟,لِمَن,يُقْتَلُ,فِى,سَبِيلِ,ٱللَّهِ,أَمْوَٰتٌۢ,ۚ,بَلْ,أَحْيَآءٌۭ,وَلَٰكِن,لَّا,تَشْعُرُونَ]",grief
